@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
476,'2019/02/08 17:35:36:772',3,76.494118,142.522644,197.157745,212.641922,212.629761,228.77359,82.885239,152.833786,205.104294,218.522232,222.531708,237.198135,0.04096,0.032691,0.019366,0.04439,0.03694,0.022763,0.829999,132,0,0,0,349.228241,0.63,0.95,1
477,'2019/02/08 17:35:36:836',3,80.19323,146.195526,218.617126,229.279053,229.146866,235.63327,77.365265,137.248215,208.840454,225.589493,232.031952,243.180389,0.041777,0.043794,0.009158,0.049635,0.049618,0.025182,0.829999,132,0,0,0,349.228241,0.63,0.95,1
478,'2019/02/08 17:35:36:836',3,80.19323,146.195526,218.617126,229.279053,229.146866,235.63327,77.365265,137.248215,208.840454,225.589493,232.031952,243.180389,0.041777,0.043794,0.009158,0.049635,0.049618,0.025182,0.829999,132,0,0,0,349.228241,0.63,0.95,1
479,'2019/02/08 17:35:36:903',3,76.754013,142.704025,215.10495,226.731857,225.520691,232.962555,77.425934,135.135803,205.58754,223.342255,231.457733,240.554993,0.04156,0.04375,0.009606,0.049769,0.05,0.024707,0.829999,132,0,0,0,349.228241,0.63,0.95,1
480,'2019/02/08 17:35:36:904',3,76.754013,142.704025,215.10495,226.731857,225.520691,232.962555,77.425934,135.135803,205.58754,223.342255,231.457733,240.554993,0.04156,0.04375,0.009606,0.049769,0.05,0.024707,0.829999,132,0,0,0,349.228241,0.63,0.95,1
481,'2019/02/08 17:35:36:968',3,77.480179,143.086868,215.462418,225.185059,226.155731,230.78302,76.214714,138.280869,206.294556,222.344818,229.212891,238.194672,0.041145,0.043796,0.008417,0.049252,0.043911,0.024871,0.829999,132,0,0,0,349.228241,0.63,0.95,1
482,'2019/02/08 17:35:36:968',3,77.480179,143.086868,215.462418,225.185059,226.155731,230.78302,76.214714,138.280869,206.294556,222.344818,229.212891,238.194672,0.041145,0.043796,0.008417,0.049252,0.043911,0.024871,0.829999,132,0,0,0,349.228241,0.63,0.95,1
483,'2019/02/08 17:35:37:031',3,79.613464,144.103638,216.449417,225.819656,226.910049,231.387741,76.18119,138.856735,204.127396,222.503479,231.326035,239.831161,0.03981,0.043802,0.007601,0.049073,0.045916,0.024891,0.829999,132,0,0,0,349.228241,0.63,0.95,1
484,'2019/02/08 17:35:37:031',3,79.613464,144.103638,216.449417,225.819656,226.910049,231.387741,76.18119,138.856735,204.127396,222.503479,231.326035,239.831161,0.03981,0.043802,0.007601,0.049073,0.045916,0.024891,0.829999,132,0,0,0,349.228241,0.63,0.95,1
485,'2019/02/08 17:35:37:096',3,80.363213,147.535324,219.574768,213.223206,211.728882,230.013092,74.802361,136.397476,204.252808,221.944351,226.882813,237.674271,0.041449,0.04348,0.005656,0.049441,0.046976,0.022458,0.829999,132,0,0,0,349.228241,0.63,0.95,1
486,'2019/02/08 17:35:37:096',3,80.363213,147.535324,219.574768,213.223206,211.728882,230.013092,74.802361,136.397476,204.252808,221.944351,226.882813,237.674271,0.041449,0.04348,0.005656,0.049441,0.046976,0.022458,0.829999,132,0,0,0,349.228241,0.63,0.95,1
487,'2019/02/08 17:35:37:163',3,82.128166,148.585571,219.933395,229.155792,228.533844,234.665039,76.162254,139.478973,208.347504,223.663086,226.526672,242.131805,0.041108,0.042733,0.008452,0.048831,0.04932,0.02174,0.829999,132,0,0,0,349.228241,0.63,0.95,1
488,'2019/02/08 17:35:37:163',3,82.128166,148.585571,219.933395,229.155792,228.533844,234.665039,76.162254,139.478973,208.347504,223.663086,226.526672,242.131805,0.041108,0.042733,0.008452,0.048831,0.04932,0.02174,0.829999,132,0,0,0,349.228241,0.63,0.95,1
489,'2019/02/08 17:35:37:230',3,74.616608,139.764374,212.546646,222.176453,221.313705,228.163605,94.177261,152.353271,202.273804,218.551254,225.376938,234.765823,0.039108,0.043457,0.008132,0.04327,0.037641,0.021217,0.829999,132,0,0,0,349.228241,0.63,0.95,1
490,'2019/02/08 17:35:37:230',3,74.616608,139.764374,212.546646,222.176453,221.313705,228.163605,94.177261,152.353271,202.273804,218.551254,225.376938,234.765823,0.039108,0.043457,0.008132,0.04327,0.037641,0.021217,0.829999,132,0,0,0,349.228241,0.63,0.95,1
491,'2019/02/08 17:35:37:297',3,74.327492,139.005157,212.029648,220.332458,220.31424,227.492615,90.774094,151.488388,218.14061,230.112244,232.395905,239.356171,0.038787,0.043601,0.008867,0.04151,0.050182,0.01225,0.829999,132,0,0,0,349.228241,0.63,0.95,1
492,'2019/02/08 17:35:37:297',3,74.327492,139.005157,212.029648,220.332458,220.31424,227.492615,90.774094,151.488388,218.14061,230.112244,232.395905,239.356171,0.038787,0.043601,0.008867,0.04151,0.050182,0.01225,0.829999,132,0,0,0,349.228241,0.63,0.95,1
493,'2019/02/08 17:35:37:364',3,74.961945,140.397217,213.669022,222.111328,223.875381,228.564941,80.094315,133.667969,199.984421,220.725082,229.493042,236.45079,0.039028,0.043728,0.008669,0.049413,0.050722,0.025161,0.829999,132,0,0,0,349.228241,0.63,0.95,1
494,'2019/02/08 17:35:37:365',3,74.961945,140.397217,213.669022,222.111328,223.875381,228.564941,80.094315,133.667969,199.984421,220.725082,229.493042,236.45079,0.039028,0.043728,0.008669,0.049413,0.050722,0.025161,0.829999,132,0,0,0,349.228241,0.63,0.95,1
