@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
124,'2019/02/24 18:19:00:574',1,181.699997,136.800003,0,0.9,-8,0,0,0,1
125,'2019/02/24 18:19:00:625',1,184.100006,138.899994,1,0,3,0,0,0,1
126,'2019/02/24 18:19:00:676',1,182.600006,137.199997,0,0.2,-4,0,0,0,1
127,'2019/02/24 18:19:00:728',1,185.5,138.800003,0,0,-5,0,0,0,1
128,'2019/02/24 18:19:00:780',1,181.100006,137.100006,0,0.5,9,0,0,0,1
129,'2019/02/24 18:19:00:831',1,182.100006,136.800003,0,1,5,0,0,0,1
130,'2019/02/24 18:19:00:883',1,180,136.899994,0,0.5,-8,0,0,0,1
131,'2019/02/24 18:19:00:933',1,183.699997,138.199997,0,0,2,0,0,0,1
132,'2019/02/24 18:19:00:985',1,183.899994,139.100006,0,0.5,5,0,0,0,1
133,'2019/02/24 18:19:01:036',1,182.199997,138.800003,1,0.4,-6,0,0,0,1
134,'2019/02/24 18:19:01:087',1,179.600006,137.899994,0.5,0,-4,0,0,0,1
135,'2019/02/24 18:19:01:138',1,178.300003,137.600006,0.5,0.7,7,0,0,0,1
136,'2019/02/24 18:19:01:188',1,183.300003,137.600006,0,0,-7,0,0,0,1
137,'2019/02/24 18:19:01:240',1,180.899994,136,0,0,-5,0,0,0,1
138,'2019/02/24 18:19:01:291',1,186.100006,140.399994,0.1,0,1,0,0,0,1
139,'2019/02/24 18:19:01:342',1,186.5,142,0.5,0,1,0,0,0,1
140,'2019/02/24 18:19:01:393',1,180.899994,138.600006,0,0,-3,0,0,0,1
141,'2019/02/24 18:19:01:444',1,179.100006,136,1.5,0.6,7,0,0,0,1
142,'2019/02/24 18:19:01:495',1,178.899994,135.5,1,0,-1,0,0,0,1
143,'2019/02/24 18:19:01:547',1,182.800003,135.600006,0,0,-3,0,0,0,1
