@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric

@data
8676,'2019/04/09 19:08:38:751',11,156.399994,103.599998,942.099976,933,0,5.049,0,1,0,72.39,100,15
8677,'2019/04/09 19:08:38:751',11,156,102.699997,942.200012,933,0,5.049,0,1,0,72.39,100,15
8678,'2019/04/09 19:08:38:751',11,155.600006,102.400002,942.299988,933,0,5.049,0,1,0,72.39,100,15
8679,'2019/04/09 19:08:38:751',11,155.199997,102.099998,942.400024,933,0,5.049,0,1,0,72.39,100,15
8680,'2019/04/09 19:08:38:751',11,154.199997,101.800003,942.5,933,0,5.049,0,1,0,72.39,100,15
8681,'2019/04/09 19:08:38:766',11,153.399994,101.5,942.5,933,0,5.049,0,1,0,72.39,100,15
8682,'2019/04/09 19:08:38:766',11,152.600006,101.099998,942.5,933,0,5.049,0,1,0,72.39,100,15
8683,'2019/04/09 19:08:38:766',11,151.800003,100.699997,942.5,933,0,5.049,0,1,0,72.39,100,15
8684,'2019/04/09 19:08:38:766',11,151,100.300003,942.5,933,0,5.049,0,1,0,72.39,100,15
8685,'2019/04/09 19:08:38:766',11,149.800003,99.900002,942.5,933,0,5.049,0,1,0,72.39,100,15
8686,'2019/04/09 19:08:38:781',11,148.600006,98.900002,942.400024,933,0,5.049,0,1,0,72.39,100,15
8687,'2019/04/09 19:08:38:783',11,147.399994,98,942.299988,933,0,5.049,0,1,0,72.39,100,15
8688,'2019/04/09 19:08:38:783',11,146.199997,97.099998,942.200012,933,0,5.049,0,1,0,72.39,100,15
8689,'2019/04/09 19:08:38:783',11,144.300003,96.199997,942.099976,933,0,5.049,0,1,0,72.39,100,15
8690,'2019/04/09 19:08:38:795',11,143,95.300003,942,933,0.1,5.049,0,1,0,72.39,100,15
8691,'2019/04/09 19:08:38:795',11,141.699997,94,942,933,0.2,5.049,0,1,0,72.39,100,15
8692,'2019/04/09 19:08:38:795',11,140.399994,93,942,933,0.3,5.049,0,1,0,72.39,100,15
8693,'2019/04/09 19:08:38:795',11,139.100006,92,942,933,0.4,5.049,0,1,0,72.39,100,15
8694,'2019/04/09 19:08:38:795',11,137.600006,91,942,933,0.5,5.049,0,1,0,72.39,100,15
8695,'2019/04/09 19:08:38:810',11,136.699997,90,942,933,0.5,5.049,0,1,0,72.39,100,15
8696,'2019/04/09 19:08:38:810',11,135.800003,89.599998,942.099976,933,0.5,5.049,0,1,0,72.39,100,15
8697,'2019/04/09 19:08:38:810',11,134.899994,89.199997,942.200012,933,0.5,5.049,0,1,0,72.39,100,15
8698,'2019/04/09 19:08:38:810',11,134,88.800003,942.299988,933,0.5,5.049,0,1,0,72.39,100,15
8699,'2019/04/09 19:08:38:810',11,133.399994,88.400002,942.400024,933,0.5,5.049,0,1,0,72.39,100,15
