@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
226,'2018/10/17 13:29:00:039',1,78,0,1,?,?,?,?,?,?,?,?,?,?
227,'2018/10/17 13:29:00:040',1,78,0,1,?,?,?,?,?,?,?,?,?,?
228,'2018/10/17 13:29:00:103',1,78,1,2,?,?,?,?,?,?,?,?,?,?
229,'2018/10/17 13:29:00:103',1,78,1,2,?,?,?,?,?,?,?,?,?,?
230,'2018/10/17 13:29:00:113',1,78,1,2,?,?,?,?,?,?,?,?,?,?
231,'2018/10/17 13:29:00:237',1,73,0,3,?,?,?,?,?,?,?,?,?,?
232,'2018/10/17 13:29:00:238',1,73,0,3,?,?,?,?,?,?,?,?,?,?
233,'2018/10/17 13:29:00:303',1,78,0,2,?,?,?,?,?,?,?,?,?,?
234,'2018/10/17 13:29:00:303',1,78,0,2,?,?,?,?,?,?,?,?,?,?
235,'2018/10/17 13:29:00:314',1,78,0,2,?,?,?,?,?,?,?,?,?,?
236,'2018/10/17 13:29:00:506',1,78,0,3,?,?,?,?,?,?,?,?,?,?
237,'2018/10/17 13:29:00:507',1,78,0,3,?,?,?,?,?,?,?,?,?,?
238,'2018/10/17 13:29:00:575',1,69,0,2,?,?,?,?,?,?,?,?,?,?
239,'2018/10/17 13:29:00:575',1,69,0,2,?,?,?,?,?,?,?,?,?,?
240,'2018/10/17 13:29:00:703',1,77,0,0,?,?,?,?,?,?,?,?,?,?
241,'2018/10/17 13:29:00:703',1,77,0,0,?,?,?,?,?,?,?,?,?,?
242,'2018/10/17 13:29:00:713',1,77,0,0,?,?,?,?,?,?,?,?,?,?
243,'2018/10/17 13:29:15:404',2,311,4,2,?,?,?,?,?,?,?,?,?,?
244,'2018/10/17 13:29:15:404',2,311,4,2,?,?,?,?,?,?,?,?,?,?
245,'2018/10/17 13:29:15:415',2,311,4,2,?,?,?,?,?,?,?,?,?,?
246,'2018/10/17 13:29:15:463',2,289,2,1,?,?,?,?,?,?,?,?,?,?
247,'2018/10/17 13:29:15:463',2,289,2,1,?,?,?,?,?,?,?,?,?,?
248,'2018/10/17 13:29:15:516',2,242,0,2,?,?,?,?,?,?,?,?,?,?
249,'2018/10/17 13:29:15:517',2,242,0,2,?,?,?,?,?,?,?,?,?,?
250,'2018/10/17 13:29:15:527',2,242,0,2,?,?,?,?,?,?,?,?,?,?
251,'2018/10/17 13:29:15:884',2,477,5,0,?,?,?,?,?,?,?,?,?,?
252,'2018/10/17 13:29:15:884',2,477,5,0,?,?,?,?,?,?,?,?,?,?
253,'2018/10/17 13:29:15:974',2,593,0,1,?,?,?,?,?,?,?,?,?,?
254,'2018/10/17 13:29:15:975',2,593,0,1,?,?,?,?,?,?,?,?,?,?
255,'2018/10/17 13:29:16:005',2,594,0,0,?,?,?,?,?,?,?,?,?,?
256,'2018/10/17 13:29:16:006',2,594,0,0,?,?,?,?,?,?,?,?,?,?
257,'2018/10/17 13:29:16:071',2,605,2,0,?,?,?,?,?,?,?,?,?,?
258,'2018/10/17 13:29:16:071',2,605,2,0,?,?,?,?,?,?,?,?,?,?
259,'2018/10/17 13:29:16:081',2,632,4,1,?,?,?,?,?,?,?,?,?,?
260,'2018/10/17 13:29:16:121',2,623,3,0,?,?,?,?,?,?,?,?,?,?
261,'2018/10/17 13:29:16:121',2,623,3,0,?,?,?,?,?,?,?,?,?,?
262,'2018/10/17 13:29:16:134',2,629,2,1,?,?,?,?,?,?,?,?,?,?
263,'2018/10/17 13:29:16:318',2,806,4,6,?,?,?,?,?,?,?,?,?,?
264,'2018/10/17 13:29:16:318',2,806,4,6,?,?,?,?,?,?,?,?,?,?
265,'2018/10/17 13:29:16:481',2,602,2,0,?,?,?,?,?,?,?,?,?,?
266,'2018/10/17 13:29:16:481',2,602,2,0,?,?,?,?,?,?,?,?,?,?
267,'2018/10/17 13:29:16:491',2,602,2,0,?,?,?,?,?,?,?,?,?,?
268,'2018/10/17 13:29:16:501',2,695,2,1,?,?,?,?,?,?,?,?,?,?
269,'2018/10/17 13:29:16:555',2,716,3,0,?,?,?,?,?,?,?,?,?,?
270,'2018/10/17 13:29:16:556',2,716,3,0,?,?,?,?,?,?,?,?,?,?
271,'2018/10/17 13:29:16:566',2,716,3,0,?,?,?,?,?,?,?,?,?,?
272,'2018/10/17 13:29:16:616',2,811,5,0,?,?,?,?,?,?,?,?,?,?
273,'2018/10/17 13:29:16:617',2,811,5,0,?,?,?,?,?,?,?,?,?,?
274,'2018/10/17 13:29:16:656',2,741,4,0,?,?,?,?,?,?,?,?,?,?
275,'2018/10/17 13:29:16:657',2,741,4,0,?,?,?,?,?,?,?,?,?,?
276,'2018/10/17 13:29:16:666',2,730,5,0,?,?,?,?,?,?,?,?,?,?
277,'2018/10/17 13:29:16:723',2,612,4,0,?,?,?,?,?,?,?,?,?,?
278,'2018/10/17 13:29:16:723',2,612,4,0,?,?,?,?,?,?,?,?,?,?
279,'2018/10/17 13:29:17:040',2,550,3,0,?,?,?,?,?,?,?,?,?,?
280,'2018/10/17 13:29:17:041',2,550,3,0,?,?,?,?,?,?,?,?,?,?
281,'2018/10/17 13:29:17:050',2,550,3,0,?,?,?,?,?,?,?,?,?,?
282,'2018/10/17 13:29:17:090',2,556,3,1,?,?,?,?,?,?,?,?,?,?
