@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
39,'2018/09/21 18:01:25:954',1,921.432861,487.372284,938.225403,630.690613,955.884583,772.219849,949.192688,822.032227,967.609253,799.415466,945.651245,858.394836,745.629211,488.052246,704.545166,626.244629,676.796936,748.106201,677.517517,798.352478,702.273804,805.434448,668.522217,848.530396,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
40,'2018/09/21 18:01:26:022',1,921.252075,486.755615,938.307129,630.735107,954.858398,776.820068,948.581909,822.557678,966.958801,812.197144,943.410156,858.414856,745.450439,487.92395,704.555969,626.229248,676.762756,748.210571,677.502625,797.798889,702.29657,807.344421,669.368896,847.488342,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
41,'2018/09/21 18:01:26:088',1,921.06604,486.235596,938.343506,630.766724,954.468201,780.84906,948.779602,822.82251,966.752808,814.7854,944.626099,858.211365,745.517883,488.18158,704.566223,626.187256,676.678833,748.197571,677.48822,798.262268,703.377197,790.680603,668.824585,847.851074,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
42,'2018/09/21 18:01:26:155',1,920.967773,485.982544,938.435486,630.854858,954.499084,780.862549,948.380554,823.14856,965.738464,828.322693,941.569702,863.101074,745.393677,488.09375,704.544861,626.181763,676.690552,748.20166,677.253784,798.50647,702.43988,803.542786,668.281799,847.124451,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
43,'2018/09/21 18:01:26:220',1,920.94812,485.919312,938.529419,630.988831,954.616333,780.95459,948.611145,822.94104,966.553101,821.215088,942.913635,860.5625,745.41864,488.137817,704.536133,626.166748,676.691345,748.183838,677.323547,798.10675,703.243225,784.413696,668.957275,847.365112,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
44,'2018/09/21 18:01:26:280',1,920.94812,485.919312,938.529419,630.988831,954.616333,780.95459,948.611145,822.94104,966.553101,821.215088,942.913635,860.5625,745.41864,488.137817,704.536133,626.166748,676.691345,748.183838,677.323547,798.10675,703.243225,784.413696,668.957275,847.365112,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
45,'2018/09/21 18:01:26:354',1,920.908752,485.743042,938.551697,630.971802,954.001099,783.63855,948.234009,823.400696,966.815186,818.462646,940.599121,865.177856,745.426514,488.124725,704.498291,626.101868,676.603943,748.19165,677.018982,798.433838,702.961487,786.818298,668.360352,847.0354,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
46,'2018/09/21 18:01:26:424',1,921.749084,487.743134,938.558105,630.85553,954.614319,782.669617,948.156433,823.796021,966.697205,822.056519,939.917908,866.991455,745.428284,488.10022,704.495789,626.045349,676.573608,748.236938,677.399109,798.057007,703.174805,792.833801,668.360413,846.720154,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
47,'2018/09/21 18:01:26:484',1,921.445435,487.256958,938.576416,630.859802,954.765076,781.571655,948.542053,822.99707,968.755859,803.053894,944.260742,858.324097,745.288269,487.97879,704.349609,626.143311,676.561401,748.232117,677.22168,798.296021,702.464905,805.009521,668.303406,847.213013,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
48,'2018/09/21 18:01:26:552',1,921.565796,487.661133,938.630615,630.817749,954.82782,781.619507,948.593201,823.343628,967.989563,822.072266,940.978699,862.958862,745.349365,488.059143,704.293701,626.204529,676.542053,748.191772,677.169067,798.176392,702.572815,803.675415,667.907288,847.085571,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
49,'2018/09/21 18:01:26:623',1,921.515381,487.672333,938.679688,630.815308,954.579468,783.413208,948.495544,823.531738,967.361023,826.211426,942.653503,860.707886,745.155945,487.917206,704.218262,626.10144,676.4953,748.169922,677.050598,798.151245,701.96698,811.916504,668.76532,847.256958,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
50,'2018/09/21 18:01:26:694',1,921.485474,487.337585,938.677917,630.920776,953.612122,783.815491,948.266846,823.512085,967.109436,821.680054,941.020935,862.957947,745.091187,487.898865,704.051941,626.120117,676.419739,748.088013,676.49939,798.570251,702.680847,792.064697,668.366882,847.121643,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
51,'2018/09/21 18:01:26:765',1,921.644104,487.863586,938.659119,630.922241,953.623291,783.865601,948.22345,822.876465,967.921143,806.010193,942.95105,860.412476,745.014038,487.811981,703.965088,626.136414,676.343811,748.06665,677.019958,798.164551,702.569824,797.862061,668.420959,847.039795,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
52,'2018/09/21 18:01:26:835',1,921.619568,488.367798,938.580627,630.981323,953.825806,783.951904,948.478699,823.548767,966.891785,818.975952,942.806091,860.688721,744.847717,487.671814,703.853516,626.149536,676.378052,747.971802,676.559021,798.493408,702.418396,798.674561,668.273621,847.469666,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
53,'2018/09/21 18:01:26:907',1,921.314331,487.635742,938.578613,630.977661,954.597656,783.857361,948.585449,822.607605,967.512268,815.293945,942.656189,860.981384,744.728821,487.601379,703.780884,626.162354,676.296814,748.03302,676.815857,798.509277,702.426086,806.781128,667.274231,847.179626,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
54,'2018/09/21 18:01:26:979',1,921.135132,487.044281,938.564026,630.965942,954.492249,783.904175,948.21283,823.00116,967.159607,822.563721,943.850647,861.642517,744.673218,487.582581,703.719727,626.226929,676.286682,748.033691,676.994873,798.033813,702.889587,798.538818,667.470032,847.284912,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
55,'2018/09/21 18:01:27:049',1,920.884338,486.372131,938.543762,630.951782,954.874817,783.516113,948.522156,823.048218,966.911194,821.600403,943.45874,860.822266,744.581421,487.489014,703.649841,626.188232,676.244324,747.736084,677.035706,797.972656,702.551758,800.773682,668.015381,846.866272,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
56,'2018/09/21 18:01:27:120',1,921.001648,486.979431,938.527405,630.929199,954.800903,783.517822,948.464966,822.969482,967.156494,819.148438,941.506104,862.672363,744.798645,487.742401,703.64563,626.130798,676.221008,747.777649,676.551453,798.390747,702.519287,800.923767,667.014771,847.228149,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
57,'2018/09/21 18:01:27:199',1,920.90271,487.022278,938.506958,630.935791,954.622498,783.876038,948.307434,824.159668,966.156189,822.851379,941.312988,862.939148,744.852173,487.785156,703.585754,626.096985,676.213806,747.757568,677.026489,797.531677,703.184021,784.66095,667.665039,846.907104,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
58,'2018/09/21 18:01:27:272',1,920.696411,487.050476,938.463257,630.916138,954.770752,783.378479,948.566528,823.931519,967.056091,819.431946,944.134766,860.676758,744.692627,487.640259,703.574219,626.169373,676.139282,747.820618,677.02002,797.904114,703.117188,790.304321,667.335327,847.182739,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
59,'2018/09/21 18:01:27:340',1,920.643433,486.976532,938.460815,630.932861,954.184998,784.062805,948.402771,824.052124,966.927734,822.763672,943.64801,862.374817,744.633423,487.618896,703.508911,626.213196,676.098206,747.929199,676.641541,798.453247,702.979004,790.478516,667.535278,846.885742,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
60,'2018/09/21 18:01:27:414',1,920.415466,486.195862,938.434814,630.9021,954.034546,784.10437,948.086792,823.966614,966.843872,819.793091,942.064392,861.721008,744.426453,487.497192,703.487488,626.233887,676.015198,748.010681,677.145081,798.341797,703.13855,791.448486,667.09375,847.421753,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
61,'2018/09/21 18:01:27:495',1,920.243408,485.709839,938.401672,630.816223,954.856201,782.640991,948.082092,823.720825,967.166687,810.469543,943.72229,858.509033,744.272644,487.430969,703.455017,626.336487,676.179688,749.120728,677.457764,798.653625,702.670532,806.031189,667.760803,847.538025,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
62,'2018/09/21 18:01:27:562',1,920.109741,487.16803,938.383423,630.779053,954.448425,783.876465,948.116455,823.892334,966.115112,825.548645,944.213501,860.652771,744.333252,487.642639,703.420227,626.394653,676.173279,749.036194,677.133423,798.511719,703.887451,793.699707,667.936157,846.865601,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
63,'2018/09/21 18:01:27:626',1,919.884338,487.125549,938.3349,630.754395,954.364014,783.880005,947.678589,823.32605,966.9151,821.215088,944.561218,857.919678,744.215271,487.564178,703.400208,626.382202,676.173462,748.769775,677.21521,798.186829,702.566772,803.997375,667.910095,846.864502,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
64,'2018/09/21 18:01:27:696',1,919.84259,487.52771,938.318176,630.697266,954.853394,782.481323,947.762207,823.70874,967.294922,810.189087,941.269958,863.084656,744.150024,487.552551,703.410767,626.364075,676.15863,748.680664,677.664856,798.125671,703.436768,795.171143,667.506348,847.043457,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
