@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
2855,'2019/02/24 20:49:32:946',11,304.200012,419.399994,0.1,1,-6,-3,-1,0,1
2856,'2019/02/24 20:49:32:997',11,302.700012,417.799988,1.5,0,-15,-10,-3,0,1
2857,'2019/02/24 20:49:33:048',11,293.799988,424.299988,0,0.5,-12,-7,0,0,1
2858,'2019/02/24 20:49:33:099',11,291.799988,423.600006,0.5,0.4,-14,-16,-1,-1,1
2859,'2019/02/24 20:49:33:150',11,291.399994,420.600006,0,1.5,-9,-2,0,0,1
2860,'2019/02/24 20:49:33:200',11,290.600006,421,0.1,0.8,-9,-5,-1,0,1
2861,'2019/02/24 20:49:33:251',11,289.700012,410.100006,0,1.5,-6,-1,0,-3,1
2862,'2019/02/24 20:49:33:302',11,286.200012,420.200012,0.5,0,-6,-2,-1,0,1
2863,'2019/02/24 20:49:33:352',11,287.399994,413.399994,0.5,1.2,-12,0,0,0,1
2864,'2019/02/24 20:49:33:403',11,288.5,414.200012,0,0,-9,-11,0,0,1
2865,'2019/02/24 20:49:33:455',11,292.100006,418.5,0,1.5,-7,-12,0,-1,1
2866,'2019/02/24 20:49:33:507',11,297.899994,419.399994,0,1.2,-19,0,0,-3,1
2867,'2019/02/24 20:49:33:559',11,291.700012,421.200012,0.1,0,-8,-5,-1,0,1
2868,'2019/02/24 20:49:33:610',11,291.600006,415.399994,0,0.7,-9,0,0,-1,1
2869,'2019/02/24 20:49:33:661',11,285.399994,416,0.5,1.8,-10,-5,-1,0,1
2870,'2019/02/24 20:49:33:712',11,286.5,415.399994,0.5,0,-10,0,0,0,1
2871,'2019/02/24 20:49:33:763',11,288.399994,420,1,0.5,-13,-13,0,0,1
2872,'2019/02/24 20:49:33:814',11,283.700012,416,0.5,0,-10,-7,0,0,1
2873,'2019/02/24 20:49:33:866',11,286.399994,422,0.1,0,-6,-4,-1,0,1
2874,'2019/02/24 20:49:33:918',11,291.899994,416,1,1.8,-10,0,0,0,1
2875,'2019/02/24 20:49:33:968',11,287,416,1,2.4,-5,-5,-2,0,1
2876,'2019/02/24 20:49:34:018',11,289,412.399994,1,1.2,-11,0,0,0,1
2877,'2019/02/24 20:49:34:070',11,292.799988,415.399994,1,0,-11,-7,0,0,1
2878,'2019/02/24 20:49:34:121',11,294.399994,417.200012,0,0.5,-10,-5,0,0,1
2879,'2019/02/24 20:49:34:172',11,295.5,414.799988,0.1,1,-8,-10,-1,0,1
2880,'2019/02/24 20:49:34:224',11,291.200012,415.799988,0.5,0.6,-5,0,-1,0,1
2881,'2019/02/24 20:49:34:276',11,292.899994,416.200012,0,0.5,-7,-2,0,0,1
2882,'2019/02/24 20:49:34:328',11,292,412.399994,0,1,-15,-5,0,-2,1
2883,'2019/02/24 20:49:34:379',11,286.799988,416.700012,0.5,1,-14,0,0,0,1
2884,'2019/02/24 20:49:34:431',11,293.399994,419.799988,0,0,-15,-9,0,0,1
2885,'2019/02/24 20:49:34:481',11,285.200012,418.399994,0.1,0,-8,-18,-1,0,1
2886,'2019/02/24 20:49:34:532',11,292,419.299988,0.5,1,-11,-7,0,0,1
