@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
349,'2019/02/23 14:21:14:336',3,11,95,0,0,3
350,'2019/02/23 14:21:14:345',3,11,95,0,0,3
351,'2019/02/23 14:21:15:014',3,769,128,0,0,3
352,'2019/02/23 14:21:15:015',3,769,128,0,0,3
353,'2019/02/23 14:21:15:025',3,769,128,0,0,3
354,'2019/02/23 14:21:15:035',3,769,128,0,0,3
355,'2019/02/23 14:21:15:045',3,769,128,0,0,3
356,'2019/02/23 14:21:15:447',3,534,128,0,0,3
357,'2019/02/23 14:21:15:447',3,534,128,0,0,3
358,'2019/02/23 14:21:15:458',3,534,128,0,0,3
359,'2019/02/23 14:21:15:469',3,534,128,0,0,3
360,'2019/02/23 14:21:15:478',3,534,128,0,0,3
361,'2019/02/23 14:21:15:880',3,625,215,0,0,3
362,'2019/02/23 14:21:15:880',3,625,215,0,0,3
363,'2019/02/23 14:21:15:889',3,625,215,0,0,3
364,'2019/02/23 14:21:15:900',3,625,215,0,0,3
365,'2019/02/23 14:21:15:910',3,625,215,0,0,3
366,'2019/02/23 14:21:17:111',3,497,120,0,0,3
367,'2019/02/23 14:21:17:111',3,497,120,0,0,3
368,'2019/02/23 14:21:17:121',3,497,120,0,0,3
369,'2019/02/23 14:21:17:130',3,497,120,0,0,3
370,'2019/02/23 14:21:17:141',3,497,120,0,0,3
371,'2019/02/23 14:21:17:542',3,492,110,0,0,3
372,'2019/02/23 14:21:17:543',3,492,110,0,0,3
373,'2019/02/23 14:21:17:552',3,492,110,0,0,3
374,'2019/02/23 14:21:17:562',3,492,110,0,0,3
375,'2019/02/23 14:21:17:573',3,492,110,0,0,3
376,'2019/02/23 14:21:18:241',3,481,153,0,0,3
377,'2019/02/23 14:21:18:242',3,481,153,0,0,3
378,'2019/02/23 14:21:18:252',3,481,153,0,0,3
379,'2019/02/23 14:21:18:261',3,481,153,0,0,3
380,'2019/02/23 14:21:18:272',3,481,153,0,0,3
381,'2019/02/23 14:21:18:673',3,359,101,0,0,3
382,'2019/02/23 14:21:18:674',3,359,101,0,0,3
383,'2019/02/23 14:21:18:683',3,359,101,0,0,3
384,'2019/02/23 14:21:18:694',3,359,101,0,0,3
385,'2019/02/23 14:21:18:704',3,359,101,0,0,3
386,'2019/02/23 14:22:46:113',4,125,68,0,944,4
387,'2019/02/23 14:22:46:114',4,125,68,0,944,4
388,'2019/02/23 14:22:46:123',4,125,68,0,944,4
389,'2019/02/23 14:22:46:133',4,125,68,0,944,4
390,'2019/02/23 14:22:46:142',4,125,68,0,944,4
391,'2019/02/23 14:22:46:346',4,129,72,0,944,4
392,'2019/02/23 14:22:46:347',4,129,72,0,944,4
393,'2019/02/23 14:22:46:356',4,129,72,0,944,4
394,'2019/02/23 14:22:46:366',4,129,72,0,944,4
395,'2019/02/23 14:22:46:377',4,129,72,0,944,4
396,'2019/02/23 14:22:46:579',4,125,69,0,944,4
397,'2019/02/23 14:22:46:579',4,125,69,0,944,4
398,'2019/02/23 14:22:46:589',4,125,69,0,944,4
399,'2019/02/23 14:22:46:599',4,125,69,0,944,4
400,'2019/02/23 14:22:46:610',4,125,69,0,944,4
401,'2019/02/23 14:22:46:811',4,126,70,0,943,4
402,'2019/02/23 14:22:46:812',4,126,70,0,943,4
403,'2019/02/23 14:22:46:822',4,126,70,0,943,4
404,'2019/02/23 14:22:46:833',4,126,70,0,943,4
405,'2019/02/23 14:22:46:842',4,126,70,0,943,4
406,'2019/02/23 14:22:47:044',4,129,71,0,944,4
407,'2019/02/23 14:22:47:045',4,129,71,0,944,4
408,'2019/02/23 14:22:47:054',4,129,71,0,944,4
409,'2019/02/23 14:22:47:065',4,129,71,0,944,4
410,'2019/02/23 14:22:47:075',4,129,71,0,944,4
411,'2019/02/23 14:22:47:277',4,131,74,0,945,4
412,'2019/02/23 14:22:47:278',4,131,74,0,945,4
413,'2019/02/23 14:22:47:287',4,131,74,0,945,4
414,'2019/02/23 14:22:47:298',4,131,74,0,945,4
415,'2019/02/23 14:22:47:308',4,131,74,0,945,4
416,'2019/02/23 14:22:47:510',4,128,69,0,945,4
417,'2019/02/23 14:22:47:511',4,128,69,0,945,4
418,'2019/02/23 14:22:47:520',4,128,69,0,945,4
419,'2019/02/23 14:22:47:531',4,128,69,0,945,4
420,'2019/02/23 14:22:47:540',4,128,69,0,945,4
421,'2019/02/23 14:22:47:743',4,133,71,0,946,4
422,'2019/02/23 14:22:47:744',4,133,71,0,946,4
423,'2019/02/23 14:22:47:753',4,133,71,0,946,4
424,'2019/02/23 14:22:47:764',4,133,71,0,946,4
425,'2019/02/23 14:22:47:774',4,133,71,0,946,4
426,'2019/02/23 14:22:47:976',4,130,70,0,946,4
427,'2019/02/23 14:22:47:977',4,130,70,0,946,4
428,'2019/02/23 14:22:47:987',4,130,70,0,946,4
429,'2019/02/23 14:22:47:997',4,130,70,0,946,4
430,'2019/02/23 14:22:48:006',4,130,70,0,946,4
431,'2019/02/23 14:22:48:209',4,129,66,0,946,4
432,'2019/02/23 14:22:48:210',4,129,66,0,946,4
433,'2019/02/23 14:22:48:219',4,129,66,0,946,4
434,'2019/02/23 14:22:48:230',4,129,66,0,946,4
435,'2019/02/23 14:22:48:239',4,129,66,0,946,4
436,'2019/02/23 14:22:48:441',4,128,66,0,948,4
437,'2019/02/23 14:22:48:442',4,128,66,0,948,4
438,'2019/02/23 14:22:48:451',4,128,66,0,948,4
439,'2019/02/23 14:22:48:462',4,128,66,0,948,4
440,'2019/02/23 14:22:48:472',4,128,66,0,948,4
441,'2019/02/23 14:22:48:675',4,130,66,0,948,4
442,'2019/02/23 14:22:48:675',4,130,66,0,948,4
443,'2019/02/23 14:22:48:685',4,130,66,0,948,4
444,'2019/02/23 14:22:48:696',4,130,66,0,948,4
