@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
113,'2019/04/11 20:43:40:650',1,54.700001,459.5,0,370.600006,951.200012,0,?,?,?,?,?,?,?,?,?
114,'2019/04/11 20:43:40:650',1,53.299999,453.200012,0,370.700012,951.400024,0,?,?,?,?,?,?,?,?,?
115,'2019/04/11 20:43:40:650',1,51.900002,446.899994,0,370.799988,951.599976,0,?,?,?,?,?,?,?,?,?
116,'2019/04/11 20:43:40:651',1,50.5,440.600006,0,370.899994,951.799988,0,?,?,?,?,?,?,?,?,?
117,'2019/04/11 20:43:40:667',1,50,434.299988,0,371,952.099976,0,?,?,?,?,?,?,?,?,?
118,'2019/04/11 20:43:40:667',1,49.5,428,0,370.100006,952.400024,0,?,?,?,?,?,?,?,?,?
119,'2019/04/11 20:43:40:667',1,49,420,0,369.200012,952.700012,0,?,?,?,?,?,?,?,?,?
120,'2019/04/11 20:43:40:667',1,48.5,412,0,368.299988,953,0,?,?,?,?,?,?,?,?,?
121,'2019/04/11 20:43:40:668',1,48,404,0,367.399994,953.299988,0,?,?,?,?,?,?,?,?,?
122,'2019/04/11 20:43:40:668',1,47.5,396,0,366.5,953.599976,0,?,?,?,?,?,?,?,?,?
123,'2019/04/11 20:43:40:680',1,47,388,0,365.600006,953.900024,0,?,?,?,?,?,?,?,?,?
124,'2019/04/11 20:43:40:681',1,46.5,384,0,365.600006,954.200012,0,?,?,?,?,?,?,?,?,?
125,'2019/04/11 20:43:40:681',1,46,379.200012,0,365.600006,954.5,0,?,?,?,?,?,?,?,?,?
126,'2019/04/11 20:43:40:681',1,45.5,374.399994,0,365.600006,954.799988,0,?,?,?,?,?,?,?,?,?
127,'2019/04/11 20:43:40:681',1,45,369.600006,0,365.600006,955,0,?,?,?,?,?,?,?,?,?
