@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
15937,'2019/02/25 20:20:20:329',17,72.199997,293.399994,0,0,0,?,?,?,?,?,?,?,?
15938,'2019/02/25 20:20:20:329',17,72.800003,293.5,0,0,0,?,?,?,?,?,?,?,?
15939,'2019/02/25 20:20:20:344',17,73.400002,294.299988,0,0,0,?,?,?,?,?,?,?,?
15940,'2019/02/25 20:20:20:344',17,74,295.100006,0,0,0,?,?,?,?,?,?,?,?
15941,'2019/02/25 20:20:20:344',17,74.400002,295.899994,0,0,0,?,?,?,?,?,?,?,?
15942,'2019/02/25 20:20:20:359',17,74.800003,294.899994,0,0,0,?,?,?,?,?,?,?,?
15943,'2019/02/25 20:20:20:359',17,75.199997,293.899994,0,0,0,?,?,?,?,?,?,?,?
15944,'2019/02/25 20:20:20:359',17,75.599998,292.899994,0,0,0,?,?,?,?,?,?,?,?
15945,'2019/02/25 20:20:20:359',17,75.599998,291.899994,0,0,0,?,?,?,?,?,?,?,?
15946,'2019/02/25 20:20:20:373',17,75.599998,292.600006,0,0,0,?,?,?,?,?,?,?,?
15947,'2019/02/25 20:20:20:373',17,75.599998,293.299988,0,0,0,?,?,?,?,?,?,?,?
15948,'2019/02/25 20:20:20:373',17,75,294,0,0,0,?,?,?,?,?,?,?,?
15949,'2019/02/25 20:20:20:373',17,74.5,294,0,0,0,?,?,?,?,?,?,?,?
15950,'2019/02/25 20:20:20:388',17,74,293.299988,0,0,0,?,?,?,?,?,?,?,?
15951,'2019/02/25 20:20:20:388',17,73.900002,292.600006,0,0,0,?,?,?,?,?,?,?,?
15952,'2019/02/25 20:20:20:388',17,73.900002,292.899994,0,0,0,?,?,?,?,?,?,?,?
15953,'2019/02/25 20:20:20:404',17,73.900002,293.899994,0,0,0,?,?,?,?,?,?,?,?
15954,'2019/02/25 20:20:20:404',17,73.900002,294.899994,0,0,0,?,?,?,?,?,?,?,?
15955,'2019/02/25 20:20:20:404',17,74.099998,295.899994,0,0,0,?,?,?,?,?,?,?,?
15956,'2019/02/25 20:20:20:404',17,74.699997,295.899994,0,0,0,?,?,?,?,?,?,?,?
15957,'2019/02/25 20:20:20:419',17,75.300003,294.799988,0,0,0,?,?,?,?,?,?,?,?
15958,'2019/02/25 20:20:20:419',17,75.900002,293.700012,0,0,0,?,?,?,?,?,?,?,?
15959,'2019/02/25 20:20:20:419',17,75.900002,292.600006,0,0,0,?,?,?,?,?,?,?,?
15960,'2019/02/25 20:20:20:435',17,75.900002,293.200012,0,0,0,?,?,?,?,?,?,?,?
15961,'2019/02/25 20:20:20:435',17,75.900002,293.799988,0,0,0,?,?,?,?,?,?,?,?
15962,'2019/02/25 20:20:20:435',17,75.800003,294.399994,0,0,0,?,?,?,?,?,?,?,?
15963,'2019/02/25 20:20:20:435',17,75.599998,294.299988,0,0,0,?,?,?,?,?,?,?,?
